Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,-6.56845352564806E-07,-5.67322442228012E-16,0.331904075260688,0,0,0,0.789290645343358,0.00130670897233411,-3.37481664092773E-18,-8.929681712688E-10,0.00389981821392557,8.82029181338017E-19,0.00386978211033499,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/base_footprint_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/base_footprint_link.STL,,GRD_Base_v8-1;GRD_side_v8_opencr-1;GRD_side_v8_opencr-2;GRD_front_face_v8-1;GRD_frontcenterconnect-1;GRD_Front_v8-1;GRD_Front_v8-2;GRD_frontcenterconnect-2;GRD_front_face_v8-2,base_footprint_link_,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-5.37004284543315E-07,-8.88159587479759E-16,0.0331211817986434,0,0,0,0.965433444631341,0.00134888440724559,-3.37169703179605E-18,-8.92968171269934E-10,0.00392787450302288,8.85713255992045E-19,0.00391770229232179,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/base_link.STL,,"GRD_Base_v8-1;GRD_side_v8_opencr-1;GRD_side_v8_opencr-2;GRD_Front_v8-2;GRD_frontcenterconnect-2;GRD_front_face_v8-2;GRD_frontcenterconnect-1;GRD_Front_v8-1;GRD_front_face_v8-1;XM,H-430_idler-5;XM,H-430_idler-2;XM,H-430_idler-3;XM,H-430_idler-4",base_link_,Axis_base_link_joint,base_link_joint,fixed,0,0,0.3,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
FR1_link,0.02647188689816,4.80020392801678E-05,-2.67494578370248E-05,0,0,0,0.0550356079426499,1.02205475705113E-05,9.23685580005685E-08,-1.59953309685424E-08,1.27188803100972E-05,-3.99597507377748E-09,1.39400277304636E-05,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR1_link.STL,,"GRD_motor2_fr-1/fr12_s102-1;GRD_motor2_fr-1/XM,H-430_idler-1;GRD_motor2_fr-1/GRD_motor_connection_v7_4-1",FR1_,FR1__,FR1_joint,revolute,0.157899999999996,-0.0491000000000025,0.0384999999999952,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR2_link,-0.0441265540366563,-0.0425793657426173,-0.0441355467320717,0,0,0,0.265486137806875,0.000570146540564845,-1.5200271615186E-05,-0.00045336130477458,0.00110661889613504,-1.5180057921017E-05,0.000570023268153554,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR2_link.STL,,"GRD_motor3_fr-1/GRD_motor_motor_connection_v7-1;GRD_motor3_fr-1/XM,H-430_idler_2019-1;GRD_motor3_fr-1/grd_leg_26_v8-1-1;GRD_motor3_fr-1/grd_leg_26_v8-2-2",FR2_,FR2__,FR2_joint,revolute,0.0361,-0.023399999999997,0,0,0,0,FR1_link,0,1,0,0,0,0,0,,,,,,,,
FR3_link,0.07238067265259,-0.00740173077975712,-0.0723806191966414,0,0,0,0.0885804690039686,0.000114603910011105,-1.15998021987912E-08,0.00010330744347196,0.000219372107259892,1.16141800672016E-08,0.000114604460604962,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FR3_link.STL,,GRD_motor4_fr-1/GRD_Leg2_v8-2-1,FR3_,FR3__,FR3_joint,revolute,-0.1484924240492,-0.0414000000000078,-0.148492424049142,0,0,0,FR2_link,0,-1,0,0,0,0,0,,,,,,,,
FRC,0.278954309743711,-1.19210197269126E-14,-0.295924043118938,0,0,0,0.0325711990268232,5.1813409379358E-06,-7.30141771257225E-21,-1.34387187064484E-07,5.04672217647714E-06,7.94370495754693E-21,5.18134093793581E-06,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FRC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FRC.STL,,GRD_motor4_fr-1/foot-2,FRC_,Axis_FRC_joint,FRC_joint,fixed,-0.140007557361526,-0.00739999999999298,0.15697729073676,0,0,0,FR3_link,0,0,0,,,,,,,,,,,,
FL4_link,0.0264718868981555,-4.80020392728472E-05,2.67494578488972E-05,0,0,0,0.0550356079426499,1.02205475705113E-05,-9.23685580005692E-08,1.59953309685413E-08,1.27188803100972E-05,-3.99597507376527E-09,1.39400277304636E-05,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL4_link.STL,,"GRD_motor2_fl-1/fr12_s102-1;GRD_motor2_fl-1/XM,H-430_idler-1;GRD_motor2_fl-1/GRD_motor_connection_v7_4-1",FL4_,FL4__,FL4_joint,revolute,0.1579,0.0490999999999959,0.0387999999999899,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL5_link,-0.0441355467320783,0.0428541477244782,-0.0477020668129667,0,0,0,0.265486137806875,0.000570023268153554,1.51800579209823E-05,-0.000453361304774579,0.00110661889613504,1.52002716151562E-05,0.00057014654056484,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL5_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL5_link.STL,,"GRD_motor3_fl-1/GRD_motor_motor_connection_v7-1;GRD_motor3_fl-1/XM,H-430_idler_2019-1;GRD_motor3_fl-1/grd_leg_26_v8-2-2;GRD_motor3_fl-1/grd_leg_26_v8-1-1",FL5_,FL5__,FL5_joint,revolute,0.0360999999999953,0.0231252180181439,0.00357551277631834,0,0,0,FL4_link,0,-1,0,0,0,0,0,,,,,,,,
FL6_link,0.0723806726525865,0.00739826922024496,-0.0723806191966477,0,0,0,0.0885804690039685,0.000114603910011105,-1.15998022050927E-08,0.00010330744347196,0.000219372107259892,1.16141800735804E-08,0.000114604460604962,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL6_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FL6_link.STL,,GRD_motor4_fl-1/GRD_Leg2_v8-2-1,FL6_,FL6__,FL6_joint,revolute,-0.148492424049141,0.0416747819818597,-0.152067936825508,0,0,0,FL5_link,0,1,0,0,0,0,0,,,,,,,,
FLC,-0.00106080497939798,2.63677968348475E-16,0.00106080497939784,0,0,0,0.0325711990268232,5.1813409379358E-06,1.85688711914407E-21,-1.34387187064484E-07,5.04672217647714E-06,-1.32765753404042E-21,5.18134093793581E-06,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FLC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple_0311v2/meshes/FLC.STL,,GRD_motor4_fl-1/foot-2,FLC_,Axis_FCL_joint,FCL_joint,fixed,0.140007557361579,0.00740000000000232,-0.140007557361582,0,0,0,FL6_link,0,0,0,,,,,,,,,,,,
